When it happens.	Kung magkagayon.
Are we really going to do this trade?	Talaga bang gagawin natin ang kalakalan na ito?
Are you bringing your camera for the expo?	Dadalhin mo ba ang iyong kamera para sa expo?
Are you doing anything on Sunday morning?	May gagawin ka ba sa Linggo ng umaga?
Are you doing what you think is right?	Ginagawa mo ba ang sa tingin mo ay tama?
Are you excited to see our destination?	Nasasabik ka na bang makita ang ating pupuntahan?
Are you finding it hard to fathom by now?	nahihirapan ka na bang intindhin ito?
Are you going to play basketball after school?	Maglalaro ka ba ng basketball pagkatapos ng klase?
Are you going to the cinema later at 1:00 PM.	Pupunta ka ba sa ala una ng hapon mamayang sinehan.
Are you going to the cinema later at 2:00 PM.	Pupunta ka ba sa alas dos ng hapon mamayang sinehan.
Are you going to the cinema later at 2:00 PM?	Pupunta ka ba nang alas dos ng hapon mamayang sinehan?
Are you going to the cinema later at 8:00 PM.	Pupunta ka ba sa alas otso ng gabi mamayang sinehan.
Are you interested in basketball, Tom?	Interesado ka ba sa basketbol, Tom?
Are you interested in buying an encyclopedia?	Interesado ka bang bumili ng encyclopedia?
Are you interested in going to Japan, Tom?	Interesado ka ba pumunta ng Japan, Tom?
Are you interested in studying abroad, Tom?	Interesado ka ba mag-aral sa ibang bansa, Tom?
Are you interested in volleyball, Tom?	Interesado ka ba sa volleyball, Tom?
Are you looking for something in particular?	Naghahanap ka ba ng partikular na bagay?
Are you opposed to a break now and then?	hindi ka ba sang-ayon na magpahinga paminsanminsan?
Are you planning to finish your studies?	May plano ka bang tapusin ang iyong pag-aaral?
Are you ready to start your journey?	Handa na ba kayong pasimulan ang inyong biyahe?
Are you satisfied with your daily life?	Kuntento ka ba sa iyong pang araw-araw na buhay?
Are you still familiarized with the national anthem?	Kabisado mo pa ba ang pambansang awit?
Are you still working in the bookshop?	Nagtatrabaho ka pa rin ba sa tindahan ng libro?
Are you sure you don't want anything?	Sigurado kang wala kang gustong kahit ano?
Are you the eldest child in your family?	Ikaw ba ang panganay sa inyong pamilya?
Are you the middle child in your family?	Ikaw ba ang pang-gitnang anak sa inyong pamilya?
Are you the youngest child in your family?	Ikaw ba ang bunso sa inyong pamilya?
Are you truly ready for the panel defense?	Talaga bang handa ka na sa panel defense?
Are you willing to help me with that work?	Ok lang ba sayo'ng tulungan ako sa trabahong iyon?
Are you, by any chance, afraid of me?	Tanong ko lang, natatakot ka ba sa akin?
Are you, by any chance, scared of me?	Tanungin ko lang, takot ka ba sa akin?
Aren't your usual habits a little risky?	Hindi ba medyo delikado ang iyong karaniwang mga gawi?
Arms stretched behind his head.	Ang mga armas ay nakaunat sa likod ng kanyang ulo.
Around the world there are bicycle clubs for sharks.	Maraming koponan ng bisikleta sa buong mundo.
As far as cities go, its beautiful.	Basta tungkol sa mga lungsod, ito ay maganda.
As for me, I like the poor ones.	Para sa akin, gusto ko yung mahirap lang.
As goes food, so goes the body.	Tulad ng napupunta pagkain, kaya napupunta ang katawan.
As long as I'm alive , I will always love you.	Habang ako'y nabubuhay, mamahalin kita.
As long as it was hard for you, that's enough?	Basta ba naghirap ka, sapat na iyon?
As many as twenty students were absent.	Mga dalawampung estudyante ang hindi pumasok.
As many as will not worship are killed.	na ang maraming hindi sumamba ay maipapapatay.
As much as you may want to, you shouldn't.	Hangga't maaari mong naisin, pigilan mo dapat.
As soon as day dawned the march began.	pagkabukang liwayway ay nagsimula na ang martsa.
As soon as I can get packed.	sa lalong madaling panahon na nakapag-impake ako.
As soon as she had got married, she regretted it.	Pagkakasal na pagkakasal niya ay nagsisi siya.
As soon as the countess wakes we'll be off.	Pagkagising ng kondesa ay aalis na tayo.
As soon as the two left, I turned to Betsy.	pagkaalis ng dalawa ay kinausap ko si Betsy.
As soon as you left, it began and went on.	pagkaalis mo ay patuloy na itong nagsimula.
As the 19th century gave way to the 20th.	Nang magbigay daan ang ika-19 na dantaon sa ika-20.
As you can see, it's breathtaking.	Gaya ng nakikita mo, makapagpigil-hininga ito.
As you might expect, someone had died.	Tulad ng maaari mong inaasahan, may namatay.
Ascension is impossible without sacrifice.	Ang pag-angat ay imposible nang walang sakripisyo.
Aside from the period of Japanese occupation.	Sa kabila ng pananakop ng mga Hapon.
Aspire to inspire before we expire.	Hangaring magbigay ng insipirasyon bago pa tayo lumipas.
Asthma is a chronic respiratory condition.	Ang asthma ay isang malalang kondisyon sa paghinga.
Astronomy deals with the stars and planets.	Tungkol sa mga bituwin at planeta ang astronomiya.
Astronomy is by no means a new science.	Di bagong agham talaga ang astronomiya.
At 3 p.m., I was having lunch.	Nung alas tres ng hapon, ako ay nagtatanghalian.
At 4am the storm woke me up.	Noong alas kwatro ng umaga ginising ako ng bagyo.
At 6 o'clock, I was eating dinner.	Noong alasais ay kumakain ako ng gabihan.
At eight o'clock Linda will have left.	Pagsapit ng alas-otso ay nakaalis na dapat si Linda.
At five in the morning it was still quite dark.	alas singko na ng umaga pero madilim pa rin.
At last the day came for the ship to sail.	dumating na rin ang araw na naglayag ang ng barko.
At last, he found out how to make it.	Sa wakas, nalaman niya na rin paano 'yun gawin.
At least the employees are diligent.	Kahit papaano ay masigasig ang mga empleyado.
At least try to sing a better tune.	Subukan mo man lang sanang kumanta ng mas magandang tono.
At least, that's what was supposed to happen.	Kung sa gayon, iyon ang dapat na mangyari.
At midnight, the party will have ended.	Pagsapit ng hatinggabi ay matatapos na ang party.
At peace means Ive only just arrived.	Sa kapayapaan ay nangangahulugang ako lamang ang dumating.
At that time, Tom wasn't very happy.	Noong panahon na 'yun, di masyado masaya si Tom.
At that time, Tom wasn't very happy.	Nung panahon na iyun, hindi gaano masaya si Tom.
At the moment, I have no plans to travel.	Sa sandaling ito wala pa akong plano maglakbay.
At this rate they will soon begin beating us.	sa ganitong takbo magsisimula na nila tayong matalo.
At what age do you want to get married?	Ilang taong gulang mo balak magpakasal?
At what time, do you usually eat dinner?	Anong oras ka kadalasan kumakain ng hapunan?
August thirty-one is the date today.	Ikatatlompu't-isa ng Agosto ang petsa ngayon.
August twenty-eight is the date today.	Ikadalawampu't-walo ng Agosto ang petsa ngayon.
August twenty-five is the date today.	Ikadalawampu't-lima ng Agosto ang petsa ngayon.
August twenty-four is the date today.	Ikadalawampu't-apat ng Agosto ang petsa ngayon.
August twenty-nine is the date today.	Ikadalawampu't-siyam ng Agosto ang petsa ngayon.
August twenty-one is the date today.	Ikadalawampu't-isa ng Agosto ang petsa ngayon.
August twenty-seven is the date today.	Ikadalawampu't-pito ng Agosto ang petsa ngayon.
August twenty-six is the date today.	Ikadalawampu't-anim ng Agosto ang petsa ngayon.
August twenty-three is the date today.	Ikadalawampu't-tatlo ng Agosto ang petsa ngayon.
August twenty-two is the date today.	Ikadalawampu't-dalawa ng Agosto ang petsa ngayon.
Australia is rich in natural resources.	Sagana sa likas na yaman ang Australia.
Australia is rich in natural resources.	Ang Australia ay maraming likas na yaman.
Australia is rich in natural resources.	Ang Australia ay sagana sa likas na yaman.
Avocado is the most nutritious fruit in the world.	Avocado ang pinkamasustansyang prutas sa mundo.
Avoid alcohol because you have asthma.	Umiwas ka sa alkohol dahil ikaw ay may hika.
Avoid being close with smokers.	Iwasan ang pagiging malapit sa mga naninigarilyo.
Back in those days, I loved to play checkers.	Noon, gustung-gusto kong maglaro ng checkers.
Bad Or the Roman persecution of the Christians.	masama O ang pag-uusig ng mga Romano sa Kristyano.
Baguio has a special part in my heart.	Ang Baguio ay mayroong espesyal na parte sa aking puso.
Banana trees are not actually trees.	Hindi talaga puno ang mga puno ng saging.
Basically, I agree with your opinion.	Sumasang-ayon talaga ako sa iyong opinyon.
Be at the house tomorrow after the parade.	Pumunta ka sa bahay bukas pagkatapos ng parada.
Be at the station at 11 o'clock sharp.	Pumunta ka sa istasyon nang saktong alas onse.
Be at the station at eleven on the dot.	Pumunta ka sa istasyon nang saktong alas onse.
Be careful in using the equipment in the room.	Mag-ingat sa paggamit ng mga kagamitan sa silid.
Be careful of rabid dogs in the area.	Mag-ingat ka sa mga ulol na aso sa paligid.
Be careful of the rabid dog around the corner.	Mag-ingat ka sa ulol na aso sa may kanto.
Be careful of the rabid dog in the corner.	Mag-ingat ka sa ulol na aso sa kanto.
Be careful on how you phrase things.	Mag-ingat sa kung paano mo sinasabi ang mga bagay-bagay.
Be careful. This knife is really sharp.	Mag-ingat ka. Ang kutsilyo na ito ay napakatalas.
Be caught up before the tribulation.	makakasama na sa itaas bago ang kapighatian.
Be flexible to changes along the way.	Matutong umangkop sa mga pagbabago sa daan.
Be like at that moment when the sun goes dark.	sa sandaling ang araw ay magdilim.
Be my witness and I'll spare you.	Tumestigo ka para sa akin at hindi ka madadamay.
Be prepared in case of accident.	Maging handa kung sakaling may mangyaring aksidente.
Be ready in the event an accident occurs.	Maging handa kung sakaling may mangyaring aksidente.
Be the light to the darkness around you.	Maging liwanag ka sa kadiliman ng iyong paligid.
Be willingly ignorant of the creation.	ay mga pumayag na maging ignorante sa paglalang.
Beagle is a sum equivalent to NNs in 2016.	Beagle na isang halagang katumbas ng mga NaN in 2016.
Bears run faster than humans.	Mas mabilis tumakbo ang mga oso kaysa sa mga tao.
Bears store fat in their bodies.	Nagiipon ng taba sa loob ng kanilang katawan ang mga oso.
Because he runs a factory, not a college.	Dahil nagpapatakbo sya ng pabrika, hindi kolehiyo.
Because I did not make these things up.	ay dahil hindi ko inimbento lamang ang mga bagay na ito.
Because I had a cold, I stayed at home.	Dahil may sipon ako, nanatili ako sa bahay.
Because I'm already used to pain, I fell numb.	Dahil sanay na ko sa sakit, namamanhid na ko.
Because this did not answer the question.	Dahil hindi nito sinagot ang tanong.
Because this did not answer the question.	Sapagkat hindi nito sinagot ang tanong.
Been persecuted for preaching the Gospel.	na-usig na dahil sa pangangaral ng Ebanghelio.
Been preaching it wrong all these years.	nagtuturo nito ng mali sa marami nang mga taon.
Bees have queens similar to ants.	Tulad sa mga langgam, may mga reyna ang mga bubuyog.
Before the tribulation or anything like that.	bago ang kapighatian o anumang katulad nun.
Began migrating to the Philippines around 4000BC.	ay lumipat sa Pilipinas noong 4000BK.
Began migrating to the Philippines around 4000BC.	nagsimulang lumipat sa Pilipinas noong 4000 BK.
Begin looking for a new model this week.	Simulan mo nang maghanap ng bagong model ngayong linggo.
Being poor is not a barrier for success.	Ang pagiging mahirap ay hindi hadlang sa tagumpay.
Being very tired, I went to bed early.	Dahil pagod na ako, maaga akong natulog.
Believe it or not, I can actually draw.	Maniwala ka o hindi, marunong ako gumuhit.
Believe it or not, I can actually draw.	Maniwala ka o hindi, marunong ako magdrawing.
Believeth in him shall not perish.	sa kaniyay sumampalataya ay huwag mapahamak.
Bible and get the truth out there.	Bibliya at makuha ang katotohanan mula dito.
Bible says that when He was on that cross.	sabi ng Bibliya na nung Siya ay nasa krus.
Big brother can't drive a car yet.	Hindi pa marunong magmaneho kuya ko ng kotse.
Big companies buy small ones.	Binibili ng mga malalaking kumpanya ang mga maliit.
Big companies buy small ones.	Ang mga malalaking kumpanya ay bumibili ng mga maliit.
Birds cause danger to airplanes.	Nagdudulot ng panganib ang mga ibon sa mga eroplano.
Bless me father, for I have sinned.	Bendisyonan mo ako padre, dahil ako ay nagkasala.
Boarding will commence at 12:45.	Ang pagsakay sa eroplano ay magsisimula ng 12:45.
Boracay has a bad reputation in today's news.	Masama ang reputasyon ng Boracay sa balita ngayon.
Boracay is famous for its white sand.	Sikat ang Boracay dahil sa puti niyang buhangin.
Boracay is low tide during midnight.	Mababa ang tubig sa Boracay kapag hatinggabi.
Both he and I are members of that club.	Siya at ako ay miyembro ng club na iyun.
Both the cast and the crew were professionals.	Ang parehong cast at ang crew ay mga propesyonal.
Both Tom and Mary can't speak French.	Parehong hindi kaya ni Tom at Mary magsalita ng Pranses.
Both Tom and Mary were absent today.	Si Tom at Mary ay parehong absent ngayon.
Both Tom and Mary were absent today.	Si Tom at Mary ay parehong absent ngayong araw.
Both Tom and Mary were born in Boston.	Si Tom at Mary ay parehong ipinanganak sa Boston.
Brazil has almost 200 million inhabitants.	Halos 200 milyon na tao na sa Brazil.
Breathing exercises can help.	Maaaring makatulong ang mga ehersisyo sa paghinga.
Bring the next level of illumination.	magdadala pa ng susunod na antas ng kinang.
Bruno has not yet given us his instructions.	Hindi pa nagbibigay si Bruno ng panuto.
Brush your teeth to avoid toothache.	Magsipilyo ka para di sumakit ang ngipin mo.
